experiment,threshold_percentile,threshold,train_rows,old_flagged,false_positives,false_negatives,precision,recall,f1
A_new_normal_only,1,-0.031142833707002375,5000,91,45,3,0.5054945054945055,0.9387755102040817,0.6571428571428571
A_new_normal_only,2,-0.018393016550272315,5000,120,72,1,0.4,0.9795918367346939,0.5680473372781065
A_new_normal_only,3,-0.010109488750104525,5000,147,98,0,0.3333333333333333,1.0,0.5
A_new_normal_only,5,1.2218450264143282e-17,5000,250,201,0,0.196,1.0,0.3277591973244147
B_new_plus_old_normal,1,-0.042453595857971455,5328,69,29,9,0.5797101449275363,0.8163265306122449,0.6779661016949152
B_new_plus_old_normal,2,-0.022553100776649057,5328,100,52,1,0.48,0.9795918367346939,0.6442953020134228
B_new_plus_old_normal,3,-0.011590401783097478,5328,113,64,0,0.4336283185840708,1.0,0.6049382716049383
B_new_plus_old_normal,5,-1.3797319677825298e-17,5328,136,87,0,0.3602941176470588,1.0,0.5297297297297298
