Date,target,reduced_score,is_anomaly
2020-12-02 17:25:03.604,0,-0.013415309846024237,1
2020-12-02 17:25:07.815,0,-0.01777863729579998,1
2020-12-02 17:25:12.211,0,-0.016405132999110505,1
2020-12-02 17:25:16.610,0,-0.018235406519873654,1
2020-12-02 17:25:21.015,0,-0.0159586504163175,1
2020-12-02 17:25:25.415,0,-0.013966307936283506,1
2020-12-02 17:25:29.816,0,-0.01392004779420808,1
2020-12-02 17:25:34.211,0,-0.01222293825392784,1
2020-12-02 17:25:38.615,0,-0.011135776233182404,1
2020-12-02 17:25:43.016,0,-0.009950652995357467,1
2020-12-02 17:25:47.452,0,-0.01500757325580171,1
2020-12-02 17:25:51.815,0,-0.009037797294732974,1
2020-12-02 17:25:56.211,0,-0.0032949024756584455,1
2020-12-02 17:26:00.612,0,-0.007411507523952587,1
2020-12-02 17:26:05.012,0,-0.004551070325430229,1
2020-12-02 17:26:09.411,0,-0.00015191842027251212,1
2020-12-02 17:26:13.811,0,-0.010999865479749404,1
2020-12-02 17:26:18.216,0,-0.011220430399845216,1
2020-12-02 17:26:22.616,0,-0.019173550439427478,1
2020-12-02 17:26:27.015,0,-0.03226357346159381,1
2020-12-02 17:26:31.552,0,-0.019150509852164155,1
2020-12-02 17:26:36.034,0,-0.012055324667028966,1
2020-12-02 17:26:40.412,0,-0.006650842734575835,1
2020-12-02 17:26:44.847,0,-0.009958156598249168,1
2020-12-02 17:26:49.211,0,-0.0071654071997629964,1
2020-12-02 17:26:53.612,0,-0.009687495701463544,1
2020-12-02 17:26:58.013,0,-0.0068029893804311126,1
2020-12-02 17:27:02.417,0,-0.004580754479802773,1
2020-12-02 17:27:06.816,0,-0.003600984972727872,1
2020-12-02 17:27:11.218,0,-0.005657332346679089,1
2020-12-02 17:27:15.612,0,1.304874254415278e-05,0
2020-12-02 17:27:20.013,0,-0.0030232752024791365,1
2020-12-02 17:27:24.413,0,-0.0006552264468235869,1
2020-12-02 17:27:28.813,0,0.0037165740989206775,0
2020-12-02 17:27:33.213,0,0.007649235448968783,0
2020-12-02 17:27:37.613,0,0.006264599810123839,0
2020-12-02 17:27:42.018,0,0.009581382360739465,0
2020-12-02 17:27:46.414,0,-0.0049412537769167875,1
2020-12-02 17:27:50.819,0,-0.00109367536671523,1
2020-12-02 17:27:55.213,0,0.012061081905705762,0
