regime,normal_train_rows,threshold,train_speed_mean,train_current_per_rpm_mean,old_rows,old_normal_fp,old_anomaly_tp
0,1948,-0.028261093587785634,7983.953894618916,0.0002318335720723557,133,1,0
1,2290,-0.03569410213458946,9875.361822059134,0.0002565555630672506,170,27,32
2,1090,-0.03883385806460286,7888.796427996357,0.0001512543908751993,74,2,5
