regime,sub_regime,score,threshold,predicted,target,Date,speed_rpm,Current,temp_mot,Anomaly_Details
0,-1,0.03253326748356722,-0.028261093587785634,0,0,2020-12-02 17:28:21.620,7906.535776,1.676175,32.364468,
2,-1,0.07151842772182576,-0.03883385806460286,0,0,2020-12-02 17:28:26.019,7888.854175,1.459752,32.529049,
2,-1,0.06712782926856048,-0.03883385806460286,0,0,2020-12-02 17:28:30.458,7887.003471,1.179675,32.653233,
2,-1,0.07406442383708428,-0.03883385806460286,0,0,2020-12-02 17:28:34.828,7835.195209,1.367454,32.806127,
0,-1,0.03908532549420868,-0.028261093587785634,0,0,2020-12-02 17:28:39.219,7899.147225,1.774838,32.92406,
0,-1,0.04263447401980763,-0.028261093587785634,0,0,2020-12-02 17:28:43.616,7877.662942,1.832127,33.030074,
0,-1,0.03062899472281405,-0.028261093587785634,0,0,2020-12-02 17:28:48.016,7883.100965,1.513858,33.165774,
0,-1,0.03146589192810456,-0.028261093587785634,0,0,2020-12-02 17:28:52.421,7935.684587,1.564781,33.270959,
0,-1,0.04339509282760445,-0.028261093587785634,0,0,2020-12-02 17:28:56.819,7906.120721,1.628434,33.37482,
2,-1,0.07697086909821144,-0.03883385806460286,0,0,2020-12-02 17:29:01.215,7909.001646,1.297435,33.457423,
0,-1,0.04026182811947965,-0.028261093587785634,0,0,2020-12-02 17:29:05.626,7910.914111,1.669809,33.617126,
0,-1,0.04009813554898184,-0.028261093587785634,0,0,2020-12-02 17:29:10.020,7914.258346,1.583877,33.685543,
2,-1,0.06535534173463309,-0.03883385806460286,0,0,2020-12-02 17:29:14.418,7937.718361,1.4693,33.778026,
0,-1,0.032309160858335684,-0.028261093587785634,0,0,2020-12-02 17:29:18.821,7887.616072,1.615704,33.899204,
0,-1,0.01077931736792248,-0.028261093587785634,0,0,2020-12-02 17:29:23.217,7896.473973,1.609338,33.947172,
2,-1,0.05685402336743767,-0.03883385806460286,0,0,2020-12-02 17:29:27.619,7918.799121,1.265608,34.015032,
0,-1,0.024546205916264774,-0.028261093587785634,0,0,2020-12-02 17:29:32.020,7960.39604,1.784386,34.085432,
0,-1,0.02552270286188063,-0.028261093587785634,0,0,2020-12-02 17:29:36.416,7936.069102,1.663444,34.173711,
0,-1,0.04234119131451547,-0.028261093587785634,0,0,2020-12-02 17:29:40.816,7894.724718,1.793934,34.246609,
2,-1,0.0685458735684264,-0.03883385806460286,0,0,2020-12-02 17:29:45.221,7923.454894,1.485213,34.301801,
2,-1,0.06443624504779916,-0.03883385806460286,0,0,2020-12-02 17:29:49.621,7955.266872,1.475665,34.397574,
2,-1,0.07712939919008605,-0.03883385806460286,0,0,2020-12-02 17:29:54.015,7939.147381,1.405646,34.455222,
0,-1,0.032989280192435966,-0.028261093587785634,0,0,2020-12-02 17:29:58.419,7893.382674,1.758925,34.506776,
0,-1,0.04325113235361028,-0.028261093587785634,0,0,2020-12-02 17:30:02.816,7860.0,1.774838,34.590001,
0,-1,0.04265737105368217,-0.028261093587785634,0,0,2020-12-02 17:30:07.226,7873.171864,1.625252,34.670986,
0,-1,0.03340834740416371,-0.028261093587785634,0,0,2020-12-02 17:30:11.616,7890.775762,1.583877,34.727818,
0,-1,0.036155726639991725,-0.028261093587785634,0,0,2020-12-02 17:30:16.016,7835.069175,1.641165,34.840776,
0,-1,0.035731394830092966,-0.028261093587785634,0,0,2020-12-02 17:30:20.416,7919.087857,1.631617,34.89036,
0,-1,0.035401807539698404,-0.028261093587785634,0,0,2020-12-02 17:30:24.821,7835.009597,1.71755,34.995782,
2,-1,0.07233383643098146,-0.03883385806460286,0,0,2020-12-02 17:30:29.220,7833.849844,1.217867,35.064939,
0,-1,0.04766408397221639,-0.028261093587785634,0,0,2020-12-02 17:30:33.621,7858.603198,1.857588,35.132985,
0,-1,0.04513440628712767,-0.028261093587785634,0,0,2020-12-02 17:30:38.018,7842.192803,1.816213,35.251869,
2,-1,0.0798506399707547,-0.03883385806460286,0,0,2020-12-02 17:30:42.418,7887.780742,1.383367,35.306768,
0,-1,0.04380441413389746,-0.028261093587785634,0,0,2020-12-02 17:30:46.817,7907.587255,1.571146,35.33115,
0,-1,0.05558795660374338,-0.028261093587785634,0,0,2020-12-02 17:30:51.221,7907.491647,1.778021,35.402677,
0,-1,0.05450738900799568,-0.028261093587785634,0,0,2020-12-02 17:30:55.620,7930.168705,1.666627,35.525509,
0,-1,0.05134477780346419,-0.028261093587785634,0,0,2020-12-02 17:31:00.026,7876.565777,1.622069,35.589255,
2,-1,0.07685123826176227,-0.03883385806460286,0,0,2020-12-02 17:31:04.421,7903.997615,1.513858,35.634764,
2,-1,0.08424773325546342,-0.03883385806460286,0,0,2020-12-02 17:31:08.821,7889.856742,1.462934,35.705853,
